"Тема","Дата начала","Время начала","Дата завершения","Время завершения","Ежедневное событие","Оповещение вкл/выкл","Дата оповещения","Время оповещения","В это время","Важность","Описание","Пометка"
"ПЗПІ-23-3 - ОС Лб DL ПЗПІ-23-3","02.06.2025","09:30:00","02.06.2025","11:05:00","Ложь","Истина","02.06.2025","09:25:00","2","Обычная","ОС Лб DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-4 - ПрПА Пз DL ПЗПІ-23-4","03.03.2025","09:30:00","03.03.2025","11:05:00","Ложь","Истина","03.03.2025","09:25:00","2","Обычная","ПрПА Пз DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - ПрПА Лб DL ПЗПІ-23-4","31.03.2025","09:30:00","31.03.2025","11:05:00","Ложь","Истина","31.03.2025","09:25:00","2","Обычная","ПрПА Лб DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - ПрПА Лб DL ПЗПІ-23-4","14.04.2025","09:30:00","14.04.2025","11:05:00","Ложь","Истина","14.04.2025","09:25:00","2","Обычная","ПрПА Лб DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - ПрПА Лб DL ПЗПІ-23-4","12.05.2025","09:30:00","12.05.2025","11:05:00","Ложь","Истина","12.05.2025","09:25:00","2","Обычная","ПрПА Лб DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - ПрПА Лб DL ПЗПІ-23-4","02.06.2025","09:30:00","02.06.2025","11:05:00","Ложь","Истина","02.06.2025","09:25:00","2","Обычная","ПрПА Лб DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - ПрПА Конс DL ПЗПІ-23-4","16.06.2025","09:30:00","16.06.2025","11:05:00","Ложь","Истина","16.06.2025","09:25:00","2","Обычная","ПрПА Конс DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - ІМ Конс DL ПЗПІ-23-4","23.06.2025","09:30:00","23.06.2025","11:05:00","Ложь","Истина","23.06.2025","09:25:00","2","Обычная","ІМ Конс DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-5 - Філ Конс DL ПЗПІ-23-5","09.06.2025","09:30:00","09.06.2025","11:05:00","Ложь","Истина","09.06.2025","09:25:00","2","Обычная","Філ Конс DL ПЗПІ-23-5","Обычный"
"ПЗПІ-23-1 - ОПJа Пз DL ПЗПІ-23-1","10.03.2025","11:15:00","10.03.2025","12:50:00","Ложь","Истина","10.03.2025","11:10:00","2","Обычная","ОПJа Пз DL ПЗПІ-23-1","Обычный"
"ПЗПІ-23-1 - ОПJа Лб DL ПЗПІ-23-1","17.03.2025","11:15:00","17.03.2025","12:50:00","Ложь","Истина","17.03.2025","11:10:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-1","Обычный"
"ПЗПІ-23-1 - ОПJа Лб DL ПЗПІ-23-1","07.04.2025","11:15:00","07.04.2025","12:50:00","Ложь","Истина","07.04.2025","11:10:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-1","Обычный"
"ПЗПІ-23-1 - ОПJа Пз DL ПЗПІ-23-1","21.04.2025","11:15:00","21.04.2025","12:50:00","Ложь","Истина","21.04.2025","11:10:00","2","Обычная","ОПJа Пз DL ПЗПІ-23-1","Обычный"
"ПЗПІ-23-1 - ОПJа Лб DL ПЗПІ-23-1","28.04.2025","11:15:00","28.04.2025","12:50:00","Ложь","Истина","28.04.2025","11:10:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-1","Обычный"
"ПЗПІ-23-1 - ОПJа Лб DL ПЗПІ-23-1","19.05.2025","11:15:00","19.05.2025","12:50:00","Ложь","Истина","19.05.2025","11:10:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-1","Обычный"
"ПЗПІ-23-1 - ОПJа Лб DL ПЗПІ-23-1","02.06.2025","11:15:00","02.06.2025","12:50:00","Ложь","Истина","02.06.2025","11:10:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-1","Обычный"
"ПЗПІ-23-1 - ПрПА Конс DL ПЗПІ-23-1","16.06.2025","11:15:00","16.06.2025","12:50:00","Ложь","Истина","16.06.2025","11:10:00","2","Обычная","ПрПА Конс DL ПЗПІ-23-1","Обычный"
"ПЗПІ-23-1 - ІМ Конс DL, DL_1 ПЗПІ-23-1","23.06.2025","11:15:00","23.06.2025","12:50:00","Ложь","Истина","23.06.2025","11:10:00","2","Обычная","ІМ Конс DL, DL_1 ПЗПІ-23-1","Обычный"
"ПЗПІ-23-2 - ПрПА Пз DL ПЗПІ-23-2","17.03.2025","11:15:00","17.03.2025","12:50:00","Ложь","Истина","17.03.2025","11:10:00","2","Обычная","ПрПА Пз DL ПЗПІ-23-2","Обычный"
